,title,artist,lyrics,sentiment
714,Go Fuck Yourself,Deez Nuts,"Now see triple six to me ain't the number of the beast, I see triple f yeah,
forever friends and family. But if we enemies it takes on a different meaning
entirely, like fuck you fuck go fuck yourself and everybody like you see.
We ain't like you, you never walked a mile in our shoes, if you were sandals we'd
be steel toe boots. Plus them boots is just to big to fill, for real, you little
fucks ain't even fit to lick the shit from my heel, name an innovator who ain't got
a million haters, you keep runnin' you mouth, I'll keep stacking my paper. And when
you see me you salute like I'm the motherfuckin' general, if not go fuck yourself
like your packing two kinds of genitals.

Go. This shit is getting tired. Fuck it's hard to let it slide
Your. Not even worth the scuffle. Self. Let it touch the hustle

Go. This shit is getting tired. Fuck it's hard to let it slide
Your. Not even worth the scuffle. Self. Let it touch the hustle

Go

Fuck

Yourself

Go fuck yourself

Go

Fuck

Yourself

Go fuck yourself

They call me The Cremator, incinerate, torture
Things burning out of control, the reapers here to take your soul
mentally vexed, cashing those checks
Blood lusting, I demand my respect

Go. This shit is getting tired. Fuck it's hard to let it slide
Your. Not even worth the scuffle. Self. Let it touch the hustle

Go. This shit is getting tired. Fuck it's hard to let it slide.
Your. Not even worth the scuffle. Self. Let it touch the hustle

Go

Fuck

Yourself

Go fuck yourself

Go

Fuck

Yourself

Go fuck yourself


",1
715,Keep On,Deez Nuts,"Again and again and again I get tested
Feels like the walls are closing in I can’t escape it
It’s everywhere I turn so I can’t run from it
So many things I see make me sick to my stomach
Feel compassion and pain look at the world with disdain
But know that I’m part of the problem and it drives me insane
I see no light at the end of the tunnel
So I take no solace in a bullshit empty promise

So what the fuck am I supposed to do

But live like I got nothing left to lose

Again and again and again there’s no end
To the bullshit and the drama and the fake fucking friends
It’s me against the world I’ve made my peace with that
But fighting through this life alone I find no peace in that
Day after day I get more disillusioned
With every fuckin’ person on earth myself included
Everybody’s got there demons to battle
I just don’t know how much more of this shit I can handle

I feel the weight of the world and the pressures so great
I can feel my heart break every step that I take
But I keep on yeah I gotta be strong
Gotta make my momma proud, I gotta be my father’s son

I keep on

I keep on

I keep on


",3
716,Not A Face In The Crowd,Deez Nuts,"This goes out to the ones, who paved the way for us to live the life that we love.
There’s a place in my heart, for everyone of you that shows love and support
Not a day I don’t count my blessings, for that chance I’ve been given and I know who’s
Responsible everyone of you made us everything we are, and I know without you none
Of this shits possible. No matter what the fuck life throws at us, when we take the
Stage none of that shit matters. when we hear your voices when we feelin’ that vibe
I know there’s no place else I’d rather be or feel more alive

DN fam worldwide this one’s for you
This one’s for you
My DN fam

Home is where the heart is and I love this shit

DN fam worldwide this one’s for you
This one’s for you
My DN fam

Your not a face in the crowd you are a part of this

You keep me young and motivated, innovative, sober or faded for you we create it
I am a native anywhere my home you made it, I stay creative on a tear with this I state it
If you care then I care cause you made it, possible for me to stay rejuvenated, invigorated
Mind elevated feel loved not hated on stages where I demonstrate it

DN fam worldwide this one’s for you
This one’s for you
My DN fam

Home is where the heart is and I love this shit

DN fam worldwide this one’s for you
This one’s for you
My DN fam

Your not a face in the crowd you are a part of this

This Mic, this stage, this time, this song is yours
Your not a face in the crowd you are a part of this
So now’s the time to show us what you got
And let me see you throw your hands up if you believe this shit

This Mic, this stage, this time, this song is yours
Your not a face in the crowd you are a part of this
So now’s the time to show us what you got
And let me see you throw your hands up if you believe this shit


",3
717,Popular Demand,Deez Nuts,"I don’t think you understand

I don’t think you understand, we back by popular demand

I don’t think you understand, we back by popular demand

You know the kid, on some braggadocios shit, talkin’ bout liquor and bitches, party
And bullshit. If your looking for something deep and politically correct, you can do yourself
A favour right now and press skip

We got the
World in the palm of our hands and we love it
Suck our dicks
If you don’t love it cause this shit ain’t for you

I don’t think you understand, we back by popular demand

Yeah

I don’t think you understand, we back by popular demand

Tryna get them big bucks and get my dick sucked, tryna find a line and lose
My mind I don’t give two fucks. plus I got an army behind me no frontin’ they
Don’t call me the president for nothing, all of a sudden

We got the
World in the palm of our hands and we love it
Suck our dicks
If you don’t love it cause this shit ain’t for you

I don’t think you understand, we back by popular demand

Yeah

I don’t think you understand, we back by popular demand

We back by popular

We back by popular demand

Yeah I’m feeling real fuckin’ good right now
So we gonna do it like this
Let’s bring out a little Tupac on it

Come with me, trust me you don’t wanna fuck with deez. what do we have here now
Do you wanna ride or die, nah nah nah nah nah nah nah nah

Come with me, trust me you don’t wanna fuck with deez. what do we have here now
Do you wanna ride or die, nah nah nah nah nah nah nah nah


",3
718,Shot After Shot,Deez Nuts,"Back once again sipping hen mixed with juice and gin
Motherfucker we about it, if you doubt it think again
We ain’t tryina have a little sniff just a sip
Want cocaine pouring out my pores liquor out my dick
Yeah we talk the talk cause we walk the walk
Till we all slurring our words or ’til we stumble and fall
But you won’t catch us slipping often
Shit we do this every day, no play, real talking

Kid you wanna know about the life we live?
Well listen up close cause it goes like this

We live a life of excess, shit that’s all that we know
So don’t take us to the bar if you ain’t got the dough
Don’t bring your girl around me if that bitch is a hoe
Don’t bring your weed around them if you ain’t gonna smoke

Cause we drink
Shot after shot after shot after shot
And we smoke
Blunt after blunt after blunt after blunt
Cause we drink
Shot after shot after shot after shot
And we smoke
Blunt after blunt after blunt after blunt

Yeah we talk the talk cause we walk the walk
Till we all slurring our words or ’til we stumble and fall
But you won’t catch us slipping often
Shit we do this every day, no play, real talking

Kid you wanna know about the life we live?
Well listen up close cause it goes like this

We live a life of excess, shit that’s all that we know
So don’t take us to the bar if you ain’t got the dough
Don’t bring your girl around me if that bitch is a hoe
Don’t bring your weed around them if you ain’t gonna smoke

Drunk ’til death, you can’t do it like us

What you drinking, what you smoking
Give me everything you’re holding
What you drinking, what you smoking
Give us everything

Cause we drink
Shot after shot after shot after shot
And we smoke
Blunt after blunt after blunt after blunt
Cause we drink
Shot after shot after shot after shot
And we smoke
Blunt after blunt after blunt after blunt

Drunk ’til death, you can’t do it like us


",2
719,Streets Are Watching,Deez Nuts,"You’d better watch your fucking step, cause the streets are watching.
You’d better watch you fucking mouth, cause the streets are listening.
But you don’t hear me though.

You’d better watch your fucking step, cause the streets are watching.
You’d better watch you fucking mouth, cause the streets are listening.
But you don’t hear me though.

Please believe when I tell you take heed,
if the streets get hungry, then the streets gonna eat.
Nothing more dangerous then a man who got nothing to lose.
Now day that’s the majority and not the few.
If you got it, best believe they want it, hold it down stand your ground and
fight for it, they gone take it, if you let ’em, so you better watch your step,
for you get caught slippin’

Take minks off, take things off, take chains off, I take rings off
I know you know low lifes who know you got no fight
you came up as an artist, now it made you a target right?
No fans in the street.
Sick stick kids will grab you.
A sweet seat to get beat’s to eat feasts between crumb snatchers
add a toe tag to your swag, they blast you faster when you flash your clothes
bragging to whores, but it’s the boys at your door
and you don’t hear me though

You’d better watch your fucking step, cause the streets are watching.
You’d better watch you fucking mouth, cause the streets are listening.
But you don’t hear me though.

You’d better watch your fucking step, cause the streets are watching.
You’d better watch you fucking mouth, cause the streets are listening.
Big said damn

Big said damn, they wanna stick me for my paper and prey for my downfall,
I understand it all.

Big said damn, they wanna stick me for my paper and prey for my downfall,
I understand it all.

I understand it all.

I understand it all.

Big said damn, they wanna stick me for my paper and prey for my downfall,
I understand it all.

You’d better watch your fucking step, cause the streets are watching.
You’d better watch you fucking mouth, cause the streets are listening.
But you don’t hear me though.

You’d better watch your fucking step, cause the streets are watching.
You’d better watch you fucking mouth, cause the streets are listening.
But you don’t hear me though.

OOOOOHHHHH


",3
720,Unfuckwithable,Deez Nuts,"Say what you want about us, you can’t doubt us
Fought every inch of an up hill battle and now look
Catch us in the clouds livin’ the life we dreamed of
Chillin’ how the gods chill with a chill demeanour

So kill the drama we done it, you can’t debate it, we made it
I’m blowing kisses at bitches while we drink gin by the cases
Haters talk shit still ’till they get lock jaw
While we shoot the shit with legends of game so fuck y’all

We seen ’em come, we seen ’em go and all we know
We don’t give a fuck, yo, we are unfuckwithable
We don’t just shine we illuminate the whole show
Yeah, you know we are unfuckwithable

If you feelin’ like I’m feelin’ let me feel it when
I hear you, yo, let’s go we are unfuckwithable

Yeah

So kill the bitchin’ and listen, you can’t deny we on fire
If your rebuttal is muddled, it’s cause my IQ is higher
Be lying if I said I gave a fuck regardless, for every 1 that haten 100 adore us

We seen ’em come, we seen ’em go and all we know
We don’t give a fuck, yo, we are unfuckwithable
We don’t just shine we illuminate the whole show
Yeah, you know we are unfuckwithable

If you feelin’ like I’m feelin’ let me feel it when
I hear you, yo, let’s go we are unfuckwithable

We are unfuckwithable

We are unfuckwithable

We are unfuckwithable

We are unfuckwithable

Unfuckwithable


",2
721,At Peace,Defeater,"You’ve got to find her. (You’ve got to find her.)
Your mother ain’t fit to be alone.
Her rosary beads are gone, there’s only one place she’d be.
The sun is nearly up, put your jacket back on and walk down the street.

Feel the wind start to shift, cold and biting.
Just like everything that’s changed.
When you do find her, (when you do find her)
Take the only family that you’ve got back to home.

Head down, walk through the crowds and the families downtown.
You jealous bitter old man, it’s just yourself you can’t stand.
The man that took away your wife, coward that left you behind,
You would kill them both if you could. (Kill them both if you could)
Head down, cigarette in hand.
Concrete, cold brick and sando the place where she prays,
Where she suffers her days.
Sleepless nights with the dirt when the addiction hurts.
Up to that old white oak door church.

And that’s where you find her in that last pew.

You touch her cold hand, your mother is gone.
In front of her God, needle in her arm.
The family plot will be filled.
The perfect ending to a tragedy.
Put her in the cold wet ground.
Finally at peace with her husband now.

Lost all will, empty house.
Hours strain, but months pass alone with your gun.
Blue-collar shipyard, your days have gone.

Lost it all for the promise of a normal life.
All taken from you when you lost your wife.
So you sit in that chair, waiting for death, barrel to your head.


",3
722,Brothers,Defeater,"You need to get out of this house.
I’ll walk you down to town.
We’ll go act our age, kick rocks, waste summer days.
Penny candy at the general store,
I’d buy us a pop if I had more.
Keep walking inland all day,
Spitting and cursing each others name.

""Ain’t this what, ain’t this what brothers are supposed to do?""
The blood between us, makes it all but true.

So we roll on through
Out past the quarries and sandpits too.
Swim out among the rocks and cliffs,
Ignorant youth keeps us from death.
Find our way out to the tracks.
The sun, it beats down on our backs.
Heaven help us if there’s a train,
Dodge it like the beaches of Normandy.

""Ain’t this what, ain’t this what brothers are supposed to do?""
The blood between us, makes it all but true.

We saw that smoke rising over trees
And I swore, I swore, I swore,
That train was out for me.
So I held him tight and felt those tracks rumble underneath.
He swore, he swore if I didn’t let go he would knock me off my feet,
And that’s what he did.


",3
723,But Breathing,Defeater,"Unwanted, but breathing.
In the next room, sleeping.
My mother, she’s crying and my father’s been drinking.
In our run down apartment, where the roof is still leaking.
He’s cursing and cussing, it’s just the whiskey talking.

I’ve got lots of memories like this one.
Of empty days and nights spent tired and lonesome.
When I think back to all of it,
Well it’s all too much,
Well it’s all too much when you’re just a little kid.

My little brother, just a newborn baby.
In the image of my mother, she says he’s a blessing.
But not to my father, oh how he hates him.
""An undeserving mistake."" He calls him a burden.

I’ve got lots of memories like this one.
Of picking sides and picking fights between them.
When I think back to all of it,
Well it’s all too much,
Well it’s all too much when you’re just a little kid.

When I wake up in the morning it all feels like a bad dream,
One that follows you and haunts you endlessly.
Yeah haunts me endlessly.

Broken and beaten from the abuse and the cheating,
The addiction, the lying and the promise of leaving.
While my old man was a bastard, I admired and loved him.
Us two kids, we were born in to a family, not a fortune.


",2
724,Cemetery Walls,Defeater,"Climb those cemetery walls again;
Leave these flowers at your headstone.
Climb those cemetery walls again,
Every night; you can’t stand the sight of yourself.

""Now that you’re gone, what am I to do?
But get lost in this bottle thinking of you.""
You drink until you’re sick.
""I trace the grooves in your stone.""
Plot where you’ll bury him,
The man that left you alone.

Climb those cemetery walls again;
Leave these flowers at your headstone.
Climb those cemetery walls again,
Every night; you can’t stand the sight of yourself.

You drink until you’re sick,
And feel the dew in the grass.
As the sun’s coming up,
Watch a funeral pass.

""Now that you’re gone, what am I to do?
But get lost in this bottle thinking of you.""
You think to yourself,
""That should have been me.""
Two in the family plot, but you wish it were three.

Climb those cemetery walls again; (climb those cemetery walls)
Leave these flowers at your headstone.
Climb those cemetery walls again, (climb those cemetery walls)
You can’t stand the sight of yourself.


",2
725,Dear Father,Defeater,"Bury him in the cold wet ground.
Familiar faces would have made him proud.
The military and the working man,
The history of the life he lived.

""Can you feel that soil covering your coffin?""
Can you feel?

So what are you going to do?
Be the hero that your father was?
So what are you going to do?
Be the man he made you to be?

And you are your father’s son.
Dear father, dear father.
Be the hero that your father was.
Be the man he made you to be.

The war-torn stories that he told you
You’ve got a hell of a lot to live up to.
An airborne man with a scar and wound,
""Never make a promise that you can’t prove.""

Dear father, dear father.

So what are you going to do?
Be the hero that your father was?
So what are you going to do?
Be the man he made you to be?

And you are your father’s son.
Dear father, dear father.
Be the hero that your father was.
Be the man he made you to be.

""Where are you? Where are you?
You coward. You coward.""


",4
726,Empty Glass,Defeater,"The way she looked at you, tears streaming down her face.
You felt the brush of her dress as she walked away.

And that’s all it took, sat down to buy her a drink.
An empty or a half full glass, it all goes down the same.
And that’s the way that it’s been, years later she took your name.
Hopeful and now unafraid. Your gut sinks each time you see her.

Another night at the Copper Coin.
Another night, another night.

And that’s all it took, sat down to buy her a drink.
An empty or a half full glass, it all goes down the same.
And that’s the way that it’s been, years later she took your name.
Hopeful and now unafraid. Your gut sinks each time you see her.

Tell me about the old days.
Another night at the Copper Coin.
Tell me about the old days.
Put the sun into the sea.

Because there ain’t nothing like your smile,
Your legs and those eyes.

Tell me about the old days.

Because there ain’t nothing like your smile,
Your legs and those eyes.
And I will beg
And steal and borrow
To keep you safe for your whole life.


",3
727,Headstone,Defeater,"Hello, my dear
It’s so nice to see you here
How long has it been?
Oh, it feels like years
But I’m sure it’s just been days

Been walking around alone
Drunk and missing you at home
You know I’ll never feel the same
Or ask another girl to take my name

Think I’ve been stopping by too much
Don’t want you to get sick of me
On my way home from the Copper Coin
It’s this or I jump into the sea

And I’ll never forgive myself
For not being there to protect you
I should have been at home
Instead of out trying to forget you

Just one fight
And I’m out the door
What kind of man am I?
I swore I’d never leave your side

Hello, my dear
It’s so hard to see you here
How long has it been
Since we put you in the ground?
Oh, it feels like days, but it’s been years

Oh, and please don’t call me baby
It’s just too hard to hear
Too hard to hear
Leave you flowers at your headstone
Just sit and talk to you my dear, my dear


",3
728,I Don't Mind,Defeater,"Let’s talk about the old days
Let’s talk about your friends
Let’s talk about the summer
And how you wish it wouldn’t end

Did I forget to tell you
How pretty you looked in that dress?
In the first time that I saw you
You cleaned the mess from my head

And I don’t mind
If we take our time
No, I don’t mind

Lets go walkin’ on the boardwalk
Dip our feet into the sea
Lets find ourselves lost for hours
Until we find ourselves a drink

Lets talk that sun into setting
Just need the sound of your voice
Need that calming and the comfort
Something to drown out the noise

And I don’t mind
If we take our time
’Cause I’m all yours
If you’re all mine

Something I’ve been meanin’ to tell you
About three years and a day
I’d very much like to get married
Maybe have kids and move away

’Cause there ain’t nothing like your smile
Your legs and those eyes
I will beg and steal and borrow
To keep you safe your whole life

And I don’t mind
If we take our time
’Cause I’m all yours
If you’re all mine


",3
729,No Kind Of Home,Defeater,"""Where were you every night that I woke up alone?""
Cold sweat keeps you up.
""This ain’t no kind of home.""

""Come pick me up.""

""Damn those boys at the bar,
Damn the way that you drink.""
Cold sweat, sleepless nights,
When your hands start to shake.
""Damn that pier where you sit,
Damn your vengeance for him
There’s no bringing him back,
Your father is buried and dead.""

But you can’t let go of that hero’s death.
And you’ve been left with,
Left with his debt.

You couldn’t fight for your country
And your mother is an addict.

""How dare you?""
""This ain’t no kind of home.""

""Come pick me up.""

""Damn that man that you humor,
He only wants one thing from you.
Damn those looks that you give him.
Parlor tricks and I’m played for a fool.""

""How dare you?""
""This ain’t no kind of home.""


",3
730,Quiet The Longing,Defeater,"You sit, and you stir
You grieve and you grieve
The same chair as your old man
Your mother’s worse than you think
Sunken eyes and a withering frame
The needle quiets the longing
That poison, it fills…; it fills her veins
(One by one, one by one)

So quiet when the pain comes
Your mother’s rosary ain’t bringing father home
Blood rushes with cigarette burns
There ain’t no God coming to save her
So quiet as the clouds roll
Your mother’s rosary wrapped on the bed post
Blood rushes with cigarette burns
On that dock every night until your head hurts

You sit, and you stir
You grieve and you grieve
The longer you sit at the ocean
You lose more time than you think
Your blood runs cold
Wind biting under your coat
Pull it tight to your chest
Your mother is praying for death
Much more than you know

So quiet when the pain comes
Your mother’s rosary ain’t bringing father home
Blood rushes with cigarette burns
There ain’t no God coming to save her
So quiet as the clouds roll
Your mother’s rosary wrapped on the bed post
Blood rushes with cigarette burns
On that dock every night until your head hurts

""You coward (you coward)
This is your fault
Our family
Has lost everything""

Look down at your hands and your lit cigarette
Put it to your lips and breathe it in
Everything starts to fade and your body is numb
And when you wake in the morning you’re in the house all alone


",1
731,Warm Blood Rush,Defeater,"""Dear God, what have you done?""
Those words ring loud in the back of your head.
That bottle lies in a thick, blood red.

""I ain’t no forgiver, forgetter.""
Our mother waits in vain for a God that never loved us.
As much as she prayed, he never showed up.

""Dear God, where have you gone?""
Your brother is gone in the blink of an eye.
That January night, our father lays cold.
""Where are you going to go?
You’re only seventeen years old.""

""I ain’t no forgiver, forgetter.""
Our mother waits in vain for a God that never loved us.
As much as she prayed, he never showed up.

Those cold steel tracks beneath your feet,
Those same rail ties where you dodged those trains.
When we were just two kids, it still feels the same;
That warm blood rush when the train comes.
(When the train comes)

""I ain’t no forgiver, forgetter.""
""I will find you, and put that vice to your head.
Again, and again, and again, and again, and again.""


",3
732,"Waves Crash, Clouds Roll",Defeater,"As the waves crash, the clouds roll.

Sit on the dock waiting for the sun.
Wait for the coward but he never comes.
Pray for revenge on him.
Steam rises as the boats come in,
One by one (one by one).

You know she is gone,
You know there’s no saving her.
You know she is gone, you know.
Her cheating, her weak will, the addiction, that needle.

When you come home to find her lying on the floor,
You’re reminded of those sleepless nights
That will haunt you for the rest of your life.
Blue collar shipyard, any way to keep her alive.
Sun up to sun down,
Blistered hands and a parched mouth.

You know she is gone,
You know there’s no saving her.
You know she is gone, you know.
Her cheating, her weak will, the addiction, that needle.


",2
733,White Knuckles,Defeater,"You’re going to find him, and make him pay.
Stumble out to the bar.
""Take one more look at her,
And it will be the end of your days.
You low-life bookie, you don’t scare me.

I ain’t settling no debt,
I ain’t saving no face.
One more drink then I’m gone
And then I’ll drag you out of this place.""

Put it down for the courage,
Your fists clench with the blood rush.
White knuckles when the hit lands,
Cold concrete and blurred vision.

Stumble home from the bar.
Stuttered steps home to your front door.
On the tip of your tongue, your remorse.
Shamed by the loss and defeat.
Shamed by your let down to her.
The same walk as that first night.
Now alone you know that this ain’t right.
Better days and the promise you made,
Ain’t no man supposed to walk out that way.

Her ring lies in the thick red,
Your tears swell, and the room spins.
""Dear God, what have I done?""

You left her, and he took her, he laid with her.
You bastard’s son.

With the blackout
And the bloodstains,
Your teeth clench,
Then the pain comes.


",2
734,White Oak Doors,Defeater,"Lost in your own head, but then a knock at the door.
Put down that drink, your steps creaking the floor.
Go and get the gun, distract yourself from death.
Back against the door, your hands are starting to sweat.
Slowly cock the gun, slowly move to the side,
Slowly turn the handle, slowly open it wide.
You catch a glimpse of his face. Your heart sinks in your chest;
Your hands start to shake because you know that it’s him.
Just the coward and you standing silent, dead air.
So you pull him inside into your father’s chair.
""Your mother is dead, all thanks to you.
Her addiction got worse after you left you damn fool.
What you did to our father, I promised you’d pay up.
I’m going to take your life, but it don’t feel like enough.""
Cold steel to his head, walk him to his death.

Walk him down past the white oak doors.
Walk him out past the boardwalk and your old shipyard.
Your pistol in his side, make him pay.
On the outskirts of town, pass the old quarry now.
Walk him down to those cold steel tracks.
You stumble drunk with the gun in his back.

""Now get down on your knees on the tracks where you shamed me.
But this time, the dodge ain’t going to end so pretty.
Either a bullet or that train steaming just ahead
Is going to end your days. You coward little kid.""

You sit and you stir, while he waits for his death.
You’ll never forgive him, and you never did forget.
He’ll never see the sun again.
Make him pay off his debt.
Stand on those tracks, cold steel under your feet,
Barrel to his temple. ""Your rotting mother, you will soon re-meet,""
You whisper in his ear, feel his whole body shake.
In an instant he’s got your arm, he’s got your gun, you’re held down by his weight.
You feel the cold steel above and below.
You feel your stomach tie in knots when the train whistle blows.
You feel the warm of the blood where the barrel digs in.
From your cheek to your mouth, you taste the sweat and the tin.
You don’t cry, you don’t beg. You’ve been waiting for this.
For the coward, or for death, just to see your wife again.
That train is so close, so loud and so clear.
Your hands stop shaking and it’s all that you hear.
Just like father. ""You took him.
If this is how it’s going to be
I would rather die at the hands of my own family.""


",1
735,Bastards,Defeater,"I hope this finds you well
A father lost and mother dear
The family that’s kept me here
A hard lesson learned, and I’ve learned it well
How to lose everything
How to push you away
How to lie when I say
I’ll never raise a hand to the ones I love ever again
You begged and you prayed
For your god and his grace
To keep you safe
To save you from me

My broken spirit and back
My calloused shaking hands
The ache I carry in them
Are my grief and skeletons
The weight you carried inside
A weight that ain’t my bloodline
Blackout the sunrise
I count these burdens as mine
And still all you see is that bastard in me

Believing in hell
A father lost and mother dear
The family that I squandered here
A hard lesson learned, and I forgot it all
How to lose everything
How to push you away
How to lie when I say
I’ll never raise a hand to the ones I love ever again
You begged and you prayed
For your god and his grace
To keep you safe
To save you from me

My broken spirit and back
My calloused shaking hands
The ache I carry in them
Are my grief and skeletons
The weight you carried inside
A weight that ain’t my bloodline
Blackout the sunrise
I count these burdens as mine
And still all I see is that bastard in me


",3
736,Bled Out,Defeater,"I feel the distance in your letters sent
I left my family for the trenches
You’ve got me worried about leaving
You’ve got your needle, I’ve got my demons
You’ve got me homesick, I feel me slipping
I feel the cold hand of death is creeping
He took my brother to the ocean floor
I beg but death don’t come, that fucking coward
I’d give me life for his, what could I have done differently?
Bled out and failed him, he never would have done that to me

Let me keep sinking
Let me keep drowning
I am no one
I am nothing

I feel the distance in your letters sent
(I feel the distance)
I left my family for the trenches
(I am desperate)
You’ve got me worried about leaving
(Got me homesick)
You’ve got your needle, I’ve got my demons
(I am hopeless)

And all I see is the bastard in me


",1
737,Blood in My Veins,Defeater,"Can you hear those birds sing?

Means we’re closer to shore
Means we’re closer to home
Further from love and war
Further from what made sense
What we were born to do
What kept the blood in our veins
Keep my veins thin with booze

Kept my hand on my gun
And my gun by my side
Kept the moon in my thoughts
With the sun in my eyes

Kept my head hanging low
Kept my gun by my side
My brother’s name in my head
And the tears from my eyes

Kept the blood in my veins
Kept the blood in my veins
Brother’s name in my head
Kept the blood in my veins

Had me praying for death
For me and my friends
So we would never wake up
To our lovers again

Because every lover had lied
When they said we’d be fine
When they said in good faith
They would sleep alone every night

Hope to come home in one piece
With our boys by our side

Now we’re ragged and the torn
Like the flags that we fly
Like the ones we lay down
On a coffin so clean

See those eyes staring back
The boys we used to be

Kept the blood in my veins
(I re-read the postcards you sent, wish the truth was a lie)
Kept the blood in my veins
(The waves on the hull, throw your words off the side)
Brother’s name in my head
(The ship takes the deed and dying back home)
And the blood in my veins
(I want to sing to the depths, with the letters you wrote)

Kept the blood in my veins
Kept the blood in my veins
Brother’s name in my head
And the blood in my veins

Kept the blood in my veins


",3
738,Dead Set,Defeater,"I’ve got this hope in my chest
I’ll see one more sunrise
I’ve got my brother’s good luck
Around my neck every night

I’ve got  this song in my head
It’s got me thinking of him
My hear is heavy with guilt
It’s got my blood running thin

We hold fast, dead set
Hold fast, dead set
The only friends I count as mine

We hold fast, dead set
Hold fast, dead set
Are those who would die to save your life

I’ve got this burning in my gut
I’ve got these words that I write
So if I don’t make it home

They’ll know they were always on my mind
They’ll know

We hold fast, dead set
Hold fast, dead set
The only friends I count as mine

We hold fast, dead set
Hold fast, dead set
Are those who would die to save your life

We hold fast, dead set
Hold fast, dead set


",2
739,Hopeless Again,Defeater,"Dear old friend
I’m feeling hopeless again
I’m giving in to my vices bottle in hand

Dear old friend
I think I’m slipping again
At the end of my rope
This pain, this pain in my head

I could use your sage old advice
Some words to calm me down
I ain’t been sleeping much nights
With my girl sleeping all over town

Short list of my enemies
Since days I spent in the trench
But he ain’t no man, he’s a cheat
A coward staring down death

Dear old friend
In this letter I’ll never send
I confess I’d kill them both where they stand

Dear old friend
You only get what you give
At the end of my rope
This pain, this pain in my head

I could use your sage old advice
Some words to calm me down
I ain’t been sleeping much nights
With my girl sleeping all over town

Short list of my enemies
Since days I spent in the trench
But he ain’t no man, he’s a cheat
A coward staring down death

My old friend
I’m feeling hopeless again

On the front lines
I watched as good men died
I left a piece of me in foreign country side
And in my own home, I’m a stranger now
I was a father once
Lies built on losing ground

On the front lines
Boys buried where they lie
I left a piece of me in foreign country side
And in my own home, I’m a stranger now
I was a husband once
Lies built on losing ground

My old friend, my old friend
I’m feeling hopeless again


",3
740,No Faith,Defeater,"It can be heard
In every man, every bullet, every shell
In every word, ink and pen
Every family torn, every post marked stamp wishing them well

I’m a man of no faith
But I’m familiar with hell

It can be seen
On every kid
Scared to death
The wear and the pain on their face

We march on
Into snow, into rain
Our trenches, our fox holes and our early graves

I’m a man of no faith
But I’m familiar with hell


",2
741,No Relief,Defeater,"Waking up safe and sound
The words could hardly leave my mouth
""How did I make it out alive?""
I lose the same sleep every night

""How did I make it out alive?""

I got your letter today
And when I heard my name
My stomach sank to the floor
I can’t take any more
I’m digging my own grave

And it read ""Dear John""
I knew this day would come
I’m drinking every drop
Until the aching will stop
Until you pull that rig out of your arm

A wise man once told me
There wil be no relief
We will never be free
Of the horrible things
And the pain that we’ve seen

And that same man was told

""No matter where we may roam
You forget what you know of
That life you once lived
Because your home ain’t never home""

I got your letter today
And when I heard my name
My stomach sank to the floor
I can’t take any more
I’m digging my own grave

And it read ""Dear John""
I knew this day would come
I’m drinking every drop
Until the aching will stop
Until you pull that rig out of your arm

And it read ""Dear John""
I’m drinking every drop
Until the aching will stop
And it read ""Dear John""


",3
742,No Savior,Defeater,"I quit believing in heaven
I found no savior in nothing
I gave away my faith
When I gave my brother a coffin

He was the air in my lungs
He was the blood in my veins
The reason I joined up
The man that I’ll never be

A cigarette and a drink
To burn away my night
And keep the ache in my chest
And his candle burning bright

These words they fall on deaf ears
There is only guilt, death and grief
Your god forgot about us
He’s just a thief and a cheat

A cigarette and a drink
To burn away my night
And keep the ache in my chest
And his candle burning bright

He was the air in my lungs
(He was the air in my lungs)
The man I will never be

He was the blood in my veins

I quit believing in heaven
I found no savior in nothing
I gave away my faith
When I gave my brother a coffin

Let me be damned


",3
743,No Shame,Defeater,"Another day when the sun ain’t shining
Another night with the bottle I drown in
Still hoping, still waiting
Still breathing by a thread, still holding on

To my demons
To every dying wish I’ve had of us leaving
This old ghost town
Still dragging us down
To pull you out of this hell you’ve been living in
With the needle
And every dying wish I’ve had that you would clean up
Your ups and let downs pulling me underground
With every tired lie you tell just to fill your arm

You thin your veins with the dirt
With the hurt
With the memories and the pain

Still hoping, still waiting
Still breathing by a thread, still holding on

And I lost my faith in your god
In your word
In every promise that you break

Still hoping, still waiting
Still breathing by a thread, still holding on

So I walk the same way home each night
To find that back-alley pusher and take his life
And I ain’t ashamed for what I’ve done
I’ll take an eye for an eye until every junkie is blind
The river bed holds the blood and the knife

And I ain’t ashamed for what I’ve done
I took his eye as a prize
The man who laid with my wife
Lays at the bottom of that river where the sun never shines

Another day when the sun ain’t shining
Another night with the bottle I drown in
Still hoping, still waiting
Still breathing by a thread, still holding on

Still holding on

Another day when the sun ain’t shining
Another night with the bottle I drown in
Still hoping, still waiting
Still breathing by a thread, still holding on
Still holding on
Still hoping, still waiting
Still breathing by a thread, still holding on


",3
